order_id,order_date,ship_date,customer_name,segment,region,product_name,category,sub_category,quantity,revenue,discount,profit
CA-2016-152156,2016-11-08,2016-11-11,Claire Gute,Consumer,South,Bush Somerset Collection Bookcase,Furniture,Bookcases,2,261.96,0.0,41.9136
CA-2016-152156,2016-11-08,2016-11-11,Claire Gute,Consumer,South,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,3,731.94,0.0,219.582
CA-2016-138688,2016-06-12,2016-06-16,Darrin Van Huff,Corporate,West,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,2,14.62,0.0,6.8714
US-2015-108966,2015-10-11,2015-10-18,Sean O'Donnell,Consumer,South,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,5,957.5775,0.45,-383.031
US-2015-108966,2015-10-11,2015-10-18,Sean O'Donnell,Consumer,South,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,2,22.368,0.2,2.5164
CA-2014-115812,2014-06-09,2014-06-14,Brosina Hoffman,Consumer,West,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,7,48.86,0.0,14.1694
CA-2014-115812,2014-06-09,2014-06-14,Brosina Hoffman,Consumer,West,Newell 322,Office Supplies,Art,4,7.28,0.0,1.9656
CA-2014-115812,2014-06-09,2014-06-14,Brosina Hoffman,Consumer,West,Mitel 5320 IP Phone VoIP phone,Technology,Phones,6,907.152,0.2,90.7152
CA-2014-115812,2014-06-09,2014-06-14,Brosina Hoffman,Consumer,West,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,3,18.504,0.2,5.7825
CA-2014-115812,2014-06-09,2014-06-14,Brosina Hoffman,Consumer,West,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,5,114.9,0.0,34.47
CA-2014-115812,2014-06-09,2014-06-14,Brosina Hoffman,Consumer,West,Chromcraft Rectangular Conference Tables,Furniture,Tables,9,1706.184,0.2,85.3092
CA-2014-115812,2014-06-09,2014-06-14,Brosina Hoffman,Consumer,West,Konftel 250 Conference phone - Charcoal black,Technology,Phones,4,911.424,0.2,68.3568
CA-2017-114412,2017-04-15,2017-04-20,Andrew Allen,Consumer,South,Xerox 1967,Office Supplies,Paper,3,15.552,0.2,5.4432
CA-2016-161389,2016-12-05,2016-12-10,Irene Maddox,Consumer,West,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,3,407.976,0.2,132.5922
US-2015-118983,2015-11-22,2015-11-26,Harold Pawlan,Home Office,Central,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,5,68.81,0.8,-123.858
US-2015-118983,2015-11-22,2015-11-26,Harold Pawlan,Home Office,Central,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,3,2.544,0.8,-3.816
CA-2014-105893,2014-11-11,2014-11-18,Pete Kriz,Consumer,Central,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,6,665.88,0.0,13.3176
CA-2014-167164,2014-05-13,2014-05-15,Alejandro Grove,Consumer,West,Fellowes Super Stor/Drawer,Office Supplies,Storage,2,55.5,0.0,9.99
CA-2014-143336,2014-08-27,2014-09-01,Zuschuss Donatelli,Consumer,West,Newell 341,Office Supplies,Art,2,8.56,0.0,2.4824
CA-2014-143336,2014-08-27,2014-09-01,Zuschuss Donatelli,Consumer,West,Cisco SPA 501G IP Phone,Technology,Phones,3,213.48,0.2,16.011
CA-2014-143336,2014-08-27,2014-09-01,Zuschuss Donatelli,Consumer,West,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,4,22.72,0.2,7.384
CA-2016-137330,2016-12-09,2016-12-13,Ken Black,Corporate,Central,Newell 318,Office Supplies,Art,7,19.46,0.0,5.0596
CA-2016-137330,2016-12-09,2016-12-13,Ken Black,Corporate,Central,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,7,60.34,0.0,15.6884
US-2017-156909,2017-07-16,2017-07-18,Sandra Flanagan,Consumer,East,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,2,71.372,0.3,-1.0196
CA-2015-106320,2015-09-25,2015-09-30,Emily Burns,Consumer,West,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,3,1044.63,0.0,240.2649
CA-2016-121755,2016-01-16,2016-01-20,Eric Hoffmann,Consumer,West,Wilson Jones Active Use Binders,Office Supplies,Binders,2,11.648,0.2,4.2224
CA-2016-121755,2016-01-16,2016-01-20,Eric Hoffmann,Consumer,West,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,3,90.57,0.0,11.7741
US-2015-150630,2015-09-17,2015-09-21,Tracy Blumstein,Consumer,East,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,7,3083.43,0.5,-1665.0522
US-2015-150630,2015-09-17,2015-09-21,Tracy Blumstein,Consumer,East,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,2,9.618,0.7,-7.0532
US-2015-150630,2015-09-17,2015-09-21,Tracy Blumstein,Consumer,East,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,3,124.2,0.2,15.525
US-2015-150630,2015-09-17,2015-09-21,Tracy Blumstein,Consumer,East,Poly String Tie Envelopes,Office Supplies,Envelopes,2,3.264,0.2,1.1016
US-2015-150630,2015-09-17,2015-09-21,Tracy Blumstein,Consumer,East,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,6,86.304,0.2,9.7092
US-2015-150630,2015-09-17,2015-09-21,Tracy Blumstein,Consumer,East,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,6,6.858,0.7,-5.715
US-2015-150630,2015-09-17,2015-09-21,Tracy Blumstein,Consumer,East,Lumber Crayons,Office Supplies,Art,2,15.76,0.2,3.546
CA-2017-107727,2017-10-19,2017-10-23,Matt Abelman,Home Office,Central,Easy-staple paper,Office Supplies,Paper,3,29.472,0.2,9.9468
